cod_clasedpto	nom_clasedpto	cod_tipodpto	nom_tipodpto	Unidad_Operativa	Unidad_Operativa_Desc	fuente
245	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FEST	Facultad De Enfermería Y Tecnologías De La Salud	FEST	Facultad De Enfermería Y Tecnologías De La Salud	MAGIX
212	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FEST	Facultad De Enfermería Y Tecnologías De La Salud	FEST	Facultad De Enfermería Y Tecnologías De La Salud	MAGIX
144	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FEST	Facultad De Enfermería Y Tecnologías De La Salud	FEST	Facultad De Enfermería Y Tecnologías De La Salud	MAGIX
279	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FEST	Facultad De Enfermería Y Tecnologías De La Salud	FEST	Facultad De Enfermería Y Tecnologías De La Salud	MAGIX
315	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FEST	Facultad De Enfermería Y Tecnologías De La Salud	FEST	Facultad De Enfermería Y Tecnologías De La Salud	MAGIX
348	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FEST	Facultad De Enfermería Y Tecnologías De La Salud	FEST	Facultad De Enfermería Y Tecnologías De La Salud	MAGIX
382	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FEST	Facultad De Enfermería Y Tecnologías De La Salud	FEST	Facultad De Enfermería Y Tecnologías De La Salud	MAGIX
178	FACULTAD DE ENFERMERÍA Y TECNOLOGÍAS DE LA SALUD	FEST	Facultad De Enfermería Y Tecnologías De La Salud	FEST	Facultad De Enfermería Y Tecnologías De La Salud	MAGIX
130	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
335	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
369	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
232	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
446	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
302	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
406	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
266	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
198	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
164	FACULTAD DE INGENIERIA Y TECNOLOGÍAS	FIT	Facultad De Ingenieria Y Tecnologías	FIT	Facultad De Ingenieria Y Tecnologías	MAGIX
166	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
132	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
337	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
234	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
408	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
448	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
268	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
304	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
371	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
200	FACULTAD DE ODONTOLOGÍA	FOD	Facultad De Odontología	FOD	Facultad De Odontología	MAGIX
370	FACULTAD DE PSICOLOGÍA	FPSIC	Facultad De Psicología	FPSIC	Facultad De Psicología	MAGIX
131	FACULTAD DE PSICOLOGÍA	FPSIC	Facultad De Psicología	FPSIC	Facultad De Psicología	MAGIX
303	FACULTAD DE PSICOLOGÍA	FPSIC	Facultad De Psicología	FPSIC	Facultad De Psicología	MAGIX
267	FACULTAD DE PSICOLOGÍA	FPSIC	Facultad De Psicología	FPSIC	Facultad De Psicología	MAGIX
233	FACULTAD DE PSICOLOGÍA	FPSIC	Facultad De Psicología	FPSIC	Facultad De Psicología	MAGIX
199	FACULTAD DE PSICOLOGÍA	FPSIC	Facultad De Psicología	FPSIC	Facultad De Psicología	MAGIX
165	FACULTAD DE PSICOLOGÍA	FPSIC	Facultad De Psicología	FPSIC	Facultad De Psicología	MAGIX
336	FACULTAD DE PSICOLOGÍA	FPSIC	Facultad De Psicología	FPSIC	Facultad De Psicología	MAGIX
224	ISEDE	ISEDE	Isede	ISEDE	Isede	MAGIX
290	ESCUELA DE NEGOCIOS	ISEDE	Escuela De Negocios	ISEDE	Escuela De Negocios	MAGIX
156	ISEDE	ISEDE	Isede	ISEDE	Isede	MAGIX
392	ESCUELA DE NEGOCIOS	ISEDE	Escuela De Negocios	ISEDE	Escuela De Negocios	MAGIX
325	ESCUELA DE NEGOCIOS	ISEDE	Escuela De Negocios	ISEDE	Escuela De Negocios	MAGIX
