cod_clasedpto	nom_clasedpto	cod_tipodpto	nom_tipodpto	Unidad_Operativa	Unidad_Operativa_Desc	fuente
332	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	MAGIX
441	DCI-SECRETARÍA DE CONTENIDOS Y PRENSA                                                               	VCU       	Dci-Secretaría De Contenidos Y Prensa                                                               	VCU       	Dci-Secretaría De Contenidos Y Prensa                                                               	MAGIX
440	ESCUELA DE POSTGRADOS                                                                               	EPG       	Escuela De Postgrados                                                                               	EPG       	Escuela De Postgrados                                                                               	MAGIX
299	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	MAGIX
438	BEDELÍA                                                                                             	VPA       	Bedelía                                                                                             	VPA       	Bedelía                                                                                             	MAGIX
437	CENTRO DE EDUCACIÓN CONTINUA                                                                        	CEC	Centro De Educación Continua                                                                        	CEC	Centro De Educación Continua                                                                        	MAGIX
436	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS                                                             	VII-DPTOS	Vii-Departamentos, Institutos Y Centros                                                             	VII-DPTOS	Vii-Departamentos, Institutos Y Centros                                                             	MAGIX
435	VICERRECTORÍA DE INVESTIGACIÓN E INNOVACIÓN                                                         	VII	Vicerrectoría De Investigación E Innovación                                                         	VII	Vicerrectoría De Investigación E Innovación                                                         	MAGIX
434	VICERRECTORÍA DE PROGRAMAS ACADÉMICOS                                                               	VPA	Vicerrectoría De Programas Académicos                                                               	VPA	Vicerrectoría De Programas Académicos                                                               	MAGIX
433	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA                                                         	VCU       	Vicerrectoría De La Comunidad Universitaria                                                         	VCU       	Vicerrectoría De La Comunidad Universitaria                                                         	MAGIX
431	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI                                                       	VCU       	Dirección De Asuntos Internacionales Y Alumni                                                       	VCU       	Dirección De Asuntos Internacionales Y Alumni                                                       	MAGIX
430	DCI-SECRETARÍA PUBLICIDAD Y PRODUCCIÓN                                                              	VCU       	Dci-Secretaría Publicidad Y Producción                                                              	VCU       	Dci-Secretaría Publicidad Y Producción                                                              	MAGIX
429	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN                                                                	VRAD      	Dirección De Sistemas De Información                                                                	VRAD      	Dirección De Sistemas De Información                                                                	MAGIX
428	UCU BUSINESS SCHOOL                                                                                 	UCUBS     	Ucu Business School                                                                                 	UCUBS     	Ucu Business School                                                                                 	MAGIX
427	CENTRO DE IDIOMAS                                                                                   	VPA       	Centro De Idiomas                                                                                   	VPA       	Centro De Idiomas                                                                                   	MAGIX
426	VICERRECTORÍA ADMINISTRATIVA                                                                        	VRAD      	Vicerrectoría Administrativa                                                                        	VRAD      	Vicerrectoría Administrativa                                                                        	MAGIX
425	DIRECCIÓN DE ASUNTOS ESTUDIANTILES                                                                  	VCU       	Dirección De Asuntos Estudiantiles                                                                  	VCU       	Dirección De Asuntos Estudiantiles                                                                  	MAGIX
424	OFICINA DE TITULACIÓN                                                                               	RECTORÍA                                                                                            	Oficina De Titulación                                                                               	RECTORÍA                                                                                            	Oficina De Titulación                                                                               	MAGIX
423	RECTORÍA                                                                                            	RECTORÍA                                                                                            	Rectoría                                                                                            	RECTORÍA                                                                                            	Rectoría                                                                                            	MAGIX
422	SEDES MONTEVIDEO                                                                                    	SMVDYGRAL	Sedes Montevideo                                                                                    	SMVDYGRAL	Sedes Montevideo                                                                                    	MAGIX
421	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL                                                            	CDTP	Centro De Desarrollo Técnico Profesional                                                            	CDTP	Centro De Desarrollo Técnico Profesional                                                            	MAGIX
420	GENERALES                                                                                           	SMVDYGRAL	Generales                                                                                           	SMVDYGRAL	Generales                                                                                           	MAGIX
418	DIRECCIÓN DE GESTIÓN HUMANA                                                                         	VRAD      	Dirección De Gestión Humana                                                                         	VRAD      	Dirección De Gestión Humana                                                                         	MAGIX
417	DIRECCIÓN DE PLANTA FÍSICA                                                                          	VRAD      	Dirección De Planta Física                                                                          	VRAD      	Dirección De Planta Física                                                                          	MAGIX
416	DIRECCIÓN ADMINISTRATIVA Y FINANCIERA                                                               	VRAD      	Dirección Administrativa Y Financiera                                                               	VRAD      	Dirección Administrativa Y Financiera                                                               	MAGIX
415	DCI-DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL                                                         	VCU       	Dci-Dirección De Comunicación Institucional                                                         	VCU       	Dci-Dirección De Comunicación Institucional                                                         	MAGIX
414	SISTEMAS DE BIBLIOTECA                                                                              	VII	Sistemas De Biblioteca                                                                              	VII	Sistemas De Biblioteca                                                                              	MAGIX
413	SECRETARÍA DE ASUNTOS JURÍDICOS                                                                     	RECTORÍA                                                                                            	Secretaría De Asuntos Jurídicos                                                                     	RECTORÍA                                                                                            	Secretaría De Asuntos Jurídicos                                                                     	MAGIX
412	CAMPUS SALTO                                                                                        	VPA       	Campus Salto                                                                                        	VPA       	Campus Salto                                                                                        	MAGIX
411	DCI-SECRETARÍA DE PROMOCIÓN                                                                         	VCU       	Dci-Secretaría De Promoción                                                                         	VCU       	Dci-Secretaría De Promoción                                                                         	MAGIX
410	CAMPUS PUNTA DEL ESTE                                                                               	VPA       	Campus Punta Del Este                                                                               	VPA       	Campus Punta Del Este                                                                               	MAGIX
409	DCI-SECRETARÍA DE COMUNICACIÓN INTERNA                                                              	VCU       	Dci-Secretaría De Comunicación Interna                                                              	VCU       	Dci-Secretaría De Comunicación Interna                                                              	MAGIX
263	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	MAGIX
229	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	MAGIX
195	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	MAGIX
161	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	MAGIX
127	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	FCE	Facultad De Ciencias Empresariales                                                                  	MAGIX
402	CENTRO DE EDUCACIÓN CONTINUA                                                                        	CEC	Centro De Educación Continua                                                                        	CEC	Centro De Educación Continua                                                                        	MAGIX
401	VII-DEPARTAMENTOS, INSTITUTOS Y CENTROS                                                             	VII-DPTOS	Vii-Departamentos, Institutos Y Centros                                                             	VII-DPTOS	Vii-Departamentos, Institutos Y Centros                                                             	MAGIX
400	VICERRECTORÍA DE INVESTIGACIÓN E INNOVACIÓN                                                         	VII	Vicerrectoría De Investigación E Innovación                                                         	VII	Vicerrectoría De Investigación E Innovación                                                         	MAGIX
399	VICERRECTORÍA DE PROGRAMAS ACADÉMICOS                                                               	VPA	Vicerrectoría De Programas Académicos                                                               	VPA	Vicerrectoría De Programas Académicos                                                               	MAGIX
398	VICERRECTORÍA DE LA COMUNIDAD UNIVERSITARIA                                                         	VCU       	Vicerrectoría De La Comunidad Universitaria                                                         	VCU       	Vicerrectoría De La Comunidad Universitaria                                                         	MAGIX
397	SERVICIO DE ATENCIÓN ESTUDIANTIL                                                                    	VCU       	Servicio De Atención Estudiantil                                                                    	VCU       	Servicio De Atención Estudiantil                                                                    	MAGIX
396	DIRECCIÓN DE ASUNTOS INTERNACIONALES Y ALUMNI                                                       	VCU       	Dirección De Asuntos Internacionales Y Alumni                                                       	VCU       	Dirección De Asuntos Internacionales Y Alumni                                                       	MAGIX
395	DCI-SECRETARÍA DE COMUNICACIÓN                                                                      	VCU       	Dci-Secretaría De Comunicación                                                                      	VCU       	Dci-Secretaría De Comunicación                                                                      	MAGIX
393	DIRECCIÓN DE SISTEMAS DE INFORMACIÓN                                                                	VRAD      	Dirección De Sistemas De Información                                                                	VRAD      	Dirección De Sistemas De Información                                                                	MAGIX
392	ESCUELA DE NEGOCIOS                                                                                 	ISEDE	Escuela De Negocios                                                                                 	ISEDE	Escuela De Negocios                                                                                 	MAGIX
391	CENTRO DE IDIOMAS                                                                                   	VPA       	Centro De Idiomas                                                                                   	VPA       	Centro De Idiomas                                                                                   	MAGIX
390	VICERRECTORÍA ADMINISTRATIVA                                                                        	VRAD      	Vicerrectoría Administrativa                                                                        	VRAD      	Vicerrectoría Administrativa                                                                        	MAGIX
388	DIRECCIÓN DE ASUNTOS ESTUDIANTILES                                                                  	VCU       	Dirección De Asuntos Estudiantiles                                                                  	VCU       	Dirección De Asuntos Estudiantiles                                                                  	MAGIX
387	REGISTRO ACADÉMICO                                                                                  	RECTORÍA                                                                                            	Registro Académico                                                                                  	RECTORÍA                                                                                            	Registro Académico                                                                                  	MAGIX
386	RECTORÍA                                                                                            	RECTORÍA                                                                                            	Rectoría                                                                                            	RECTORÍA                                                                                            	Rectoría                                                                                            	MAGIX
385	SEDES MONTEVIDEO                                                                                    	SMVDYGRAL	Sedes Montevideo                                                                                    	SMVDYGRAL	Sedes Montevideo                                                                                    	MAGIX
384	CENTRO DE DESARROLLO TÉCNICO PROFESIONAL                                                            	CDTP	Centro De Desarrollo Técnico Profesional                                                            	CDTP	Centro De Desarrollo Técnico Profesional                                                            	MAGIX
383	GENERALES                                                                                           	SMVDYGRAL	Generales                                                                                           	SMVDYGRAL	Generales                                                                                           	MAGIX
445	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	FCH	Facultad De Ciencias Humanas                                                                        	MAGIX
381	DIRECCIÓN DE GESTIÓN HUMANA                                                                         	VRAD      	Dirección De Gestión Humana                                                                         	VRAD      	Dirección De Gestión Humana                                                                         	MAGIX
