CENTRO_COSTO_MGX_COD_AGRUPACION	CENTRO_COSTO_MGX_DESC_AREA	DESCR_CORTA
539	CENTRO DE EDUCACI�N CONTINUA                                                                        	CEC       
540	BEDEL�A                                                                                             	Bedel�a   
541	FACULTAD DE CIENCIAS DE LA SALUD                                                                    	FCS       
542	ESCUELA DE POSTGRADOS                                                                               	EPG       
100	DEPARTAMENTO DE EDUCACION                                                                           	VII-DEPTOS
1001	ITHAKA                                                                                              	VII
1002	LUDUS                                                                                               	VPA
1003	VICERRECTORIA DE PROGRAMAS ACADEMICOS                                                               	VPA
1014	DEPARTAMENTO EN DERECHO                                                                             	VII-DEPTOS
1015	DEPARTAMENTO EN DERECHO PRIVADO                                                                     	VII-DEPTOS
1018	INSITUTO DE HISTORIA (N)                                                                            	VII-DEPTOS
1019	INSTITUTO DE FILOSOFIA                                                                              	VII-DEPTOS
1020	DEPARTAMENTO DE HUMANIDADES Y COMUNICACION                                                          	VII-DEPTOS
1021	INSTITUTO DE SOCIEDAD Y RELIGION                                                                    	VII-DEPTOS
1030	VICERRECTORIA INVESTIGACION E INNOVACION                                                            	VII
1034	DEPARTAMENTO DE HUMANIDADES                                                                         	VII-DEPTOS
1038	DEPARTAMENTO DE PSICOLOGIA SOCIAL Y TRABAJO                                                         	VII-DEPTOS
1039	DEPARTAMENTO DE ADMINISTRACION Y NEGOCIOS                                                           	VII-DEPTOS
1045	UNIDAD DE APOYO A LOS DEPARTAMENTOS                                                                 	VII-DEPTOS
1046	MAESTRIA PSICOTERAPIA ADULTOS                                                                       	ESP
1052	CENTRO DE EDUCACION CONTINUA                                                                        	CEC
1053	DEPARTAMENTO DE ODONTOLOGIA                                                                         	VII-DEPTOS
1074	MEDICINA                                                                                            	FCS
1079	DEPARTAMENTO DE CIENCIAS SOCIALES                                                                   	VII-DEPTOS
1080	DEPARTAMENTO DE CIENCIAS EXACTAS Y NATURALES                                                        	VII-DEPTOS
1081	DEPARTAMENTO DE INGENIERIA                                                                          	VII-DEPTOS
11	LIC. EN DIRECCION DE EMPRESAS                                                                       	FCE
111	MAESTRIA EN ESTUDIOS ORGANIZA                                                                       	UCUBS
1112	MAESTRIA EN FISIOTERAPIA                                                                            	UCUBS
1113	MAESTRIA Y PG DESARROLLO Y APRENDIZAJE                                                              	UCUBS
1115	DIRECCION DE GESTION DE GRADO                                                                       	VPA
1121	MAESTRIA - PG EN GESTION DE CONFLICTOS	UCUBS
1122	MAESTRIA EN METODOLOGIAS                                                                            	UCUBS
1132	MAESTRIA EN LIDERAZGO Y GESTION EDUCATIVA                                                           	UCUBS
1133	MAESTRIA EN PSICOLOGIA DE LA SALUD Y DEPORTE                                                        	UCUBS
1134	ACOMPAÑAMIENTO TERAPUETICO SALTO                                                                    	FCS
1146	INGENIERIA AMBIENTAL                                                                                	FIT
12	LIC. EN NEGOCIOS INTERNACIONAL                                                                      	FCE
124	POST GRADOS Y MAESTRIAS DE DCSP                                                                     	ESP
13	LIC. EN RELACIONES LABORALES                                                                        	FCE
14	LIC. EN ECONOMIA                                                                                    	FCE
15	MBA                                                                                                 	UCUBS
16	PG EN MARKETING                                                                                     	EPG
218	LICENCIATURA EN NUTRICIÓN                                                                           	FCS
28	CONTADOR PUBLICO                                                                                    	FCE
29	PG.EN FINANZAS                                                                                      	EPG
32	LIC.EN DIREC.EMPR.TURÍSTICAS                                                                        	FCE
33	PG.EN TRIBUTARIA                                                                                    	EPG
40	COMPETITIVIDAD Y CLUSTERS                                                                           	FCE
41	DERECHO                                                                                             	FD
51	NOTARIADO                                                                                           	FD
59	DEPARTAMENTO DE ESTUDIOS ORGANIZACIONALES                                                           	VII-DEPTOS
60	LIC. EN CIENCIAS SOCIALES                                                                           	FCH
600	MAESTRIA EN DERECHO CIVIL                                                                           	UCUBS
61	LIC. EN COMUNICACION SOCIAL                                                                         	FCH
722	DEPTO. NEGOCIOS INTERNACIONALES E INTEGRACION                                                       	VII-DEPTOS
765	DPTO.INFORMATICA Y CC DE LA COMPUTACION                                                             	VII-DEPTOS
795	LICENCIATURA EN PRODUCCION Y GESTION AGRICOLA GANADERA (SALTO)                                      	FCE
806	LIC. EN FONOAUDIOLOGIA                                                                              	FCS
811	INGENIERIA DE LOS ALIMENTOS                                                                         	FIT
816	MAESTRIA EN ATENCION TEMPRANA                                                                       	UCUBS
821	PG COMUNICACION ORGANIZACIONAL                                                                      	EPG
856	POST GRADO Y MAESTRIAS EN EDUCACION                                                                 	ESP
863	MAESTRIA EN GERENCIA DE TECNOLOGIA DE LA INFORMACION                                                	UCUBS
878	LICENCIATURA EN INFORMATICA (SALTO)                                                                 	FIT
903	LICENCIATURA EN SEGURIDAD Y SALUD OCUPACIONAL                                                       	FIT
904	LICENCIATURA EN ARTES VISUALES                                                                      	FCH
909	DEPARTAMENTO DE NEUROCIENCIA Y APRENDIZAJE                                                          	VII-DEPTOS
912	DEPARTAMENTO DE PSICOLOGIA                                                                          	VII-DEPTOS
913	DEPTO. PSICOLOGIA DEL DESARROLLO Y EDUCACION                                                        	VII-DEPTOS
920	DEPARTAMENTO DE BIENESTAR Y SALUD                                                                   	VII-DEPTOS
928	LIC. EN LOGISTICA                                                                                   	FCE
936	MAESTRIA EN DERECHO PROCESAL PENAL                                                                  	UCUBS
938	DPTO CIENCIAS DE LA ENFERMERIA                                                                      	VII-DEPTOS
939	DEPARTAMENTO NUTRICION                                                                              	VII-DEPTOS
940	DPTO CIENCIAS DEL MOVIMIENTO HUMANO                                                                 	VII-DEPTOS
941	DECANATO FACULTAD DE CIENCIAS DE LA SALUD                                                           	VPA
942	LICENCIATURA EN FISIOTERAPIA                                                                        	FCS
943	LICENCIATURA EN PSICOMOTRICIDAD                                                                     	FCS
946	LIC. EN ENFERMERÍA                                                                                  	FCS
95	CARRERA DE GRADO EN EDUCACION                                                                       	FCH
950	MAESTRIA EN CUIDADOS PALIATIVOS                                                                     	UCUBS
956	PG. ESP. GESTION SERVICIOS DE SALUD                                                                 	EPG
