CENTRO_COSTO_MGX_COD_AGRUPACION	CENTRO_COSTO_MGX_DESC_AREA	DESCR_CORTA
227	SECRETARIA DE INFORMACION ESTRATEGICA Y CALIDAD                                                     	SIEC
228	VMU-DEPARTAMENTO DE FORMACI�N HUMAN�STICA                                                           	DFH
229	FACULTAD DE CIENCIAS EMPRESARIALES                                                                  	FCE       
230	FACULTAD DE DERECHO                                                                                 	FD
231	FACULTAD DE CIENCIAS HUMANAS                                                                        	FCH       
232	FACULTAD DE INGENIERIA Y TECNOLOG�AS                                                                	FIT       
233	FACULTAD DE PSICOLOG�A                                                                              	FPSIC
234	FACULTAD DE ODONTOLOG�A                                                                             	FOD       
235	DRIC-SECRETAR�A DE ADMISI�N                                                                         	DRIC
236	SEDE PUNTA DEL ESTE- MALDONADO                                                                      	PESTE     
238	SEDE LITORAL NORTE - SALTO                                                                          	SALTO     
239	SECRETAR�A DE ASUNTOS JUR�DICOS                                                                     	JURIDICA
240	SISTEMAS DE BIBLIOTECA                                                                              	BIBLIOTECA
241	SECRETARIA SEDE CENTRO                                                                              	CDP
242	DIRECCI�N ADMINISTRATIVA Y FINANCIERA                                                               	DAF       
243	DIRECCI�N DE PLANTA F�SICA                                                                          	DPF       
244	DIRECCI�N DE GESTI�N HUMANA                                                                         	DGH       
245	FACULTAD DE ENFERMER�A Y TECNOLOG�AS DE LA SALUD                                                    	FETS
246	GENERALES                                                                                           	Generales 
247	CENTRO DE DESARROLLO T�CNICO PROFESIONAL                                                            	CDTP
248	SEDES MONTEVIDEO                                                                                    	MDEO
249	RECTOR�A                                                                                            	Rector�a  
250	REGISTRO ACAD�MICO                                                                                  	ORA
251	SEDE TACUAREMB�                                                                                     	TBO
252	VICERRECTOR�A DEL MEDIO UNIVERSITARIO                                                               	VMU
253	VICERRECTOR�A ACAD�MICA                                                                             	VRAC
254	VICERRECTORIA DE GESTION ECONOMICA Y DESARROLLO                                                     	VGED
255	CENTRO DE IDIOMAS                                                                                   	DPING     
256	ESCUELA DE NEGOCIOS                                                                                 	ESCNEG
